idx,car_position_x,car_position_y,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
271,-3.17062,10.0385,-0.809285,0.783992,0.5,0.0023715
272,-3.22062,10.0386,-0.824538,0.797875,0.5,0.0021495
273,-3.27062,10.0387,-0.839545,0.811484,0.5,0.00190358
274,-3.32062,10.0388,-0.924764,0.854898,0.5,0.00168674
275,-3.37062,10.0389,-0.940472,0.867781,0.5,0.0016797
276,-3.42062,10.039,-0.95597,0.880405,0.5,0.00152332
277,-3.47062,10.0391,-0.971199,0.892755,0.5,0.00135025
278,-3.52062,10.0392,-1.06666,0.933537,0.5,0.00119773
279,-3.57062,10.0393,-1.08266,0.945119,0.5,0.0011924
280,-3.62062,10.0393,-1.09843,0.95645,0.5,0.00108261
281,-3.67061,10.0394,-1.1139,0.967521,0.5,0.000961288
282,-3.72061,10.0394,-1.22083,1.00534,0.5,0.000854482
283,-3.77061,10.0395,-1.23717,1.01565,0.5,0.000850664
284,-3.82061,10.0395,-1.25326,1.02573,0.5,0.000773749
285,-3.87061,10.0396,-1.26904,1.03557,0.5,0.000688692
286,-3.92061,10.0396,-1.38889,1.0703,0.5,0.000613692
287,-3.97061,10.0396,-1.40566,1.07943,0.5,0.000610448
288,-4.02061,10.0397,-1.42216,1.08834,0.5,0.000556193
289,-4.07061,10.0397,-1.43833,1.09705,0.5,0.00049631
290,-4.12061,10.0397,-1.57284,1.12872,0.5,0.000443558
291,-4.17061,10.0398,-1.59016,1.13677,0.5,0.000440824
292,-4.22061,10.0398,-1.60719,1.14463,0.5,0.000402845
293,-4.27061,10.0398,-1.62387,1.1523,0.5,0.000361139
294,-4.32061,10.0398,-1.77511,1.18105,0.5,0.000324526
295,-4.37061,10.0398,-1.79314,1.18814,0.5,0.000322526
296,-4.42061,10.0398,-1.81087,1.19506,0.5,0.000296174
297,-4.47061,10.0399,-1.82824,1.20182,0.5,0.000267187
298,-4.52061,10.0399,-1.9987,1.22782,0.5,0.000241625
299,-4.57061,10.0399,-2.01769,1.23407,0.5,0.000239663
300,-4.62061,10.0399,-2.03635,1.24017,0.5,0.000220998
301,-4.67061,10.0399,-2.05464,1.24613,0.5,0.000200687
302,-4.72061,10.0399,-2.24736,1.26959,0.5,0.000182596
303,-4.77061,10.0399,-2.26759,1.2751,0.5,0.000180563
304,-4.82061,10.0399,-2.28749,1.28049,0.5,0.000167506
305,-4.87061,10.0399,-2.30701,1.28576,0.5,0.000153541
306,-4.92061,10.0399,-2.52569,1.30689,0.5,0.000141469
307,-4.97061,10.0399,-2.54757,1.31175,0.5,0.000140173
308,-5.02061,10.04,-2.56911,1.31652,0.5,0.00013159
309,-5.07061,10.04,-2.59029,1.32118,0.5,0.000122285
310,-5.12061,10.04,-2.83952,1.3402,0.5,0.000114055
311,-5.17061,10.04,-2.86361,1.34451,0.5,0.000112535
312,-5.22061,10.04,-2.88737,1.34874,0.5,0.000106328
313,-5.27061,10.04,-2.91078,1.35288,0.5,9.97484e-05
314,-5.32061,10.04,-3.19628,1.36996,0.5,9.41098e-05
315,-5.37061,10.04,-3.22329,1.3738,0.5,9.28566e-05
316,-5.42061,10.04,-3.25,1.37756,0.5,8.92511e-05
317,-5.47061,10.04,-3.27638,1.38124,0.5,8.57875e-05
318,-5.52061,10.04,-3.60537,1.39658,0.5,8.31449e-05
319,-5.57061,10.04,-3.6363,1.39999,0.5,8.28795e-05
320,-5.62061,10.04,-3.667,1.40335,0.5,8.13482e-05
321,-5.67061,10.04,-3.69744,1.40664,0.5,7.97148e-05
322,-5.72061,10.04,-4.07927,1.42038,0.5,7.83184e-05
323,-5.77061,10.04,-4.11556,1.42343,0.5,7.75956e-05
324,-5.82061,10.04,-4.1517,1.42643,0.5,7.65658e-05
325,-5.87061,10.04,-4.18767,1.42938,0.5,7.5766e-05
326,-5.92061,10.04,-4.63442,1.44167,0.5,7.54474e-05
327,-5.97061,10.04,-4.67795,1.4444,0.5,7.51728e-05
328,-6.02061,10.04,-4.72147,1.44709,0.5,7.56777e-05
329,-6.07061,10.04,-4.76502,1.44973,0.5,7.66429e-05
330,-6.12061,10.04,-5.29276,1.4607,0.5,7.7739e-05
331,-6.17061,10.04,-5.34642,1.46315,0.5,7.74935e-05
332,-6.22061,10.04,-5.40037,1.46557,0.5,7.79815e-05
333,-6.27061,10.04,-5.45468,1.46794,0.5,7.85314e-05
334,-6.32061,10.04,-6.0854,1.47769,0.5,7.88208e-05
335,-6.37061,10.04,-6.15337,1.4799,0.5,7.7022e-05
336,-6.42061,10.04,-6.22204,1.48208,0.5,7.66443e-05
337,-6.47061,10.04,-6.29149,1.48421,0.5,7.68184e-05
338,-6.52061,10.04,-7.05522,1.49285,0.5,7.71596e-05
339,-6.57061,10.04,-7.14338,1.49483,0.5,7.53629e-05
340,-6.62061,10.04,-7.23292,1.49678,0.5,7.5707e-05
341,-6.67061,10.04,-7.32406,1.4987,0.5,7.68049e-05
342,-6.72061,10.04,-8.26352,1.50631,0.5,7.80051e-05
343,-6.77061,10.04,-8.38123,1.50809,0.5,7.64746e-05
344,-6.82061,10.04,-8.50166,1.50984,0.5,7.70435e-05
345,-6.87061,10.04,-8.62518,1.51157,0.5,7.8013e-05
346,-6.92061,10.04,-9.80356,1.51822,0.5,7.87089e-05
347,-6.97061,10.04,-9.96598,1.51982,0.5,7.61327e-05
