idx,car_position_x,car_position_y,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
118,4.95644e-06,5.03537,4.95644e-06,-2.99875e-05,0.500002,-0.000113816
119,3.57468e-06,5.08537,3.57468e-06,-2.5333e-05,0.500001,-0.000101519
120,2.42991e-06,5.13537,2.42991e-06,-2.05701e-05,0.500002,-8.62695e-05
121,1.48649e-06,5.18537,1.48649e-06,-1.73774e-05,0.500001,-7.06468e-05
122,6.63854e-07,5.23537,6.63854e-07,-1.58384e-05,0.500002,-6.49746e-05
123,-1.18455e-07,5.28537,-1.18455e-07,-1.58317e-05,0.500001,-6.34605e-05
124,-9.19079e-07,5.33537,-9.19079e-07,-1.6269e-05,0.500002,-6.96725e-05
125,-1.74561e-06,5.38537,-1.74561e-06,-1.68464e-05,0.500002,-7.39543e-05
126,-2.58965e-06,5.43537,-2.58965e-06,-1.68573e-05,0.500002,-8.06885e-05
127,-3.42454e-06,5.48537,-3.42454e-06,-1.67035e-05,0.500002,-8.19111e-05
128,-4.24391e-06,5.53537,-4.24391e-06,-1.61827e-05,0.500002,-8.56062e-05
129,-5.03904e-06,5.58537,-5.03904e-06,-1.58888e-05,0.500002,-8.49577e-05
130,-5.82036e-06,5.63537,-5.82036e-06,-1.54167e-05,0.500002,-8.86551e-05
131,-6.58174e-06,5.68537,-6.58174e-06,-1.51111e-05,0.500002,-8.80925e-05
132,-7.32231e-06,5.73537,-7.32231e-06,-1.42864e-05,0.500002,-9.14231e-05
133,-8.01537e-06,5.78537,-8.01537e-06,-1.32904e-05,0.500002,-8.83527e-05
134,-8.6444e-06,5.83537,-8.6444e-06,-1.15608e-05,0.500002,-8.80472e-05
135,-9.18034e-06,5.88537,-9.18034e-06,-9.84936e-06,0.500002,-8.02978e-05
136,-9.62507e-06,5.93537,-9.62507e-06,-7.92973e-06,0.500002,-7.70406e-05
137,-9.98437e-06,5.98537,-9.98437e-06,-6.83905e-06,0.500002,-6.86965e-05
138,-1.03002e-05,6.03537,-1.03002e-05,-6.16569e-06,0.500002,-6.90221e-05
139,-1.06002e-05,6.08537,-1.06002e-05,-6.48887e-06,0.500002,-6.61827e-05
140,-1.0932e-05,6.13537,-1.0932e-05,-7.08465e-06,0.500002,-7.23709e-05
141,-1.13072e-05,6.18537,-1.13072e-05,-8.26047e-06,0.500002,-7.46409e-05
142,-1.17435e-05,6.23537,-1.17435e-05,-9.08413e-06,0.500002,-8.39091e-05
143,-1.22177e-05,6.28537,-1.22177e-05,-9.82505e-06,0.500002,-8.64188e-05
