idx,car_position_x,car_position_y,cte,etheta,cmd_vel.linear.x,cmd_vel.angular.z
498,7.73895,0.429214,0.0138794,0.0399087,0.49774,0.0753327
500,7.76081,0.473864,0.0155107,0.0665005,0.496418,0.119415
502,7.78205,0.518518,0.0149499,0.0488337,0.496786,0.107141
504,7.80277,0.563589,0.0147657,0.0373731,0.495827,0.139094
506,7.82288,0.608797,0.0152358,0.0563964,0.496424,0.119215
508,7.84244,0.654328,0.0151069,0.0429716,0.497277,0.0907543
510,7.86156,0.700159,0.0150932,0.033723,0.496075,0.130848
512,7.88006,0.746041,0.0156391,0.0509159,0.496549,0.115026
514,7.898,0.79225,0.0153826,0.0383985,0.497481,0.0839692
516,7.91551,0.838742,0.0153327,0.0301968,0.496251,0.124963
518,7.93227,0.885141,0.0151707,0.0424554,0.496684,0.110542
520,7.94842,0.932047,0.014642,0.0308022,0.497935,0.068849
522,7.9642,0.979231,0.0146038,0.024482,0.496698,0.110075
524,7.97951,1.02641,0.0163999,0.043903,0.497041,0.0986193
526,7.99433,1.07378,0.0162506,0.0337823,0.497705,0.0764849
528,8.00877,1.12136,0.0161934,0.02689,0.49634,0.121988
530,8.02257,1.16883,0.0174785,0.0413924,0.496716,0.109468
532,8.03579,1.21665,0.0169596,0.0304283,0.495817,0.13943
534,8.04838,1.26451,0.0153895,0.017916,0.496432,0.118931
536,8.06037,1.3126,0.0171548,0.0710052,0.497293,0.0902417
538,8.07189,1.36092,0.0183733,0.0588713,0.496149,0.128355
540,8.08284,1.40922,0.0181481,0.0441869,0.496629,0.112376
542,8.09323,1.45772,0.0179371,0.0674708,0.497415,0.0861609
544,8.10316,1.5064,0.0190988,0.0560889,0.496224,0.125858
546,8.11255,1.55505,0.0188195,0.0419666,0.496675,0.11083
548,8.12137,1.60386,0.0189115,0.064853,0.497444,0.0852091
550,8.12972,1.65284,0.0199795,0.0538348,0.496241,0.125309
552,8.13747,1.7017,0.0190399,0.037553,0.496684,0.110538
554,8.1446,1.75079,0.0192371,0.0598093,0.497638,0.0787177
556,8.15128,1.80005,0.0202442,0.0497985,0.496444,0.118537
558,8.15726,1.84903,0.018244,0.0299163,0.496847,0.105107
560,8.16254,1.89838,0.0184008,0.0517699,0.498113,0.0629001
562,8.16742,1.94792,0.019418,0.0437234,0.496911,0.102961
564,8.17188,1.99735,0.0191737,0.0327918,0.497223,0.0925807
566,8.17586,2.04686,0.0201692,0.056023,0.497843,0.071902
568,8.17944,2.09647,0.0211788,0.0471007,0.496506,0.116475
570,8.18257,2.146,0.0209549,0.0356646,0.496855,0.104818
572,8.18517,2.19556,0.0221267,0.0575247,0.497493,0.0835635
574,8.18731,2.24521,0.0229242,0.0474928,0.496234,0.125548
576,8.18887,2.29467,0.0217432,0.032054,0.496655,0.11151
578,8.18979,2.34426,0.022785,0.0527594,0.497603,0.0798899
580,8.19024,2.39397,0.0234651,0.0433524,0.496413,0.119571
582,8.19002,2.44335,0.0211958,0.0241401,0.496814,0.106185
584,8.18901,2.49278,0.0215965,0.0425543,0.496284,0.123855
586,8.18739,2.54231,0.0208303,0.0292216,0.497053,0.0982337
588,8.18522,2.59191,0.0200902,0.019581,0.497825,0.072498
590,8.18263,2.64159,0.0217182,0.043198,0.496625,0.112505
592,8.17948,2.69083,0.0199367,0.0253424,0.496989,0.100368
594,8.17562,2.74045,0.0188937,0.0152459,0.49811,0.0629864
596,8.17133,2.79006,0.020559,0.0389914,0.496963,0.101217
598,8.16663,2.8395,0.0200397,0.0276081,0.497305,0.0898243
600,8.16145,2.88891,0.0193217,0.0185,0.497959,0.0680477
602,8.15584,2.93837,0.0194556,0.0813572,0.49671,0.109651
604,8.14972,2.98765,0.0198567,0.0619703,0.497074,0.0975463
606,8.14305,3.03672,0.0206984,0.0499911,0.498009,0.0663725
608,8.13595,3.08599,0.0214978,0.0412301,0.496728,0.109077
610,8.12843,3.13504,0.0209747,0.064684,0.497075,0.0974928
612,8.12038,3.18405,0.0216544,0.0514101,0.49777,0.0743348
614,8.11188,3.23307,0.0208828,0.0811552,0.496563,0.114568
616,8.10294,3.28165,0.0215714,0.0633933,0.496963,0.101249
618,8.09338,3.33038,0.0220946,0.0497776,0.497784,0.0738591
620,8.08336,3.37912,0.0214107,0.0794228,0.496611,0.112976
622,8.07291,3.42761,0.0223708,0.0632035,0.497008,0.0997256
624,8.06191,3.47604,0.0229252,0.0497951,0.497726,0.0758007
626,8.05046,3.52445,0.0223552,0.0791996,0.496538,0.115409
628,8.03859,3.57254,0.0233241,0.0631504,0.496945,0.101822
630,8.02619,3.62054,0.0238968,0.049878,0.497649,0.0783706
632,8.01333,3.66854,0.0234866,0.0793968,0.496452,0.118258
634,7.99995,3.71605,0.0228198,0.0562747,0.496848,0.105064
636,7.98586,3.76355,0.0233091,0.0441688,0.498059,0.0647102
638,7.97134,3.81115,0.0230538,0.0748918,0.496819,0.106036
640,7.95647,3.85825,0.0233362,0.0568895,0.497124,0.0958619
642,7.94098,3.90542,0.0238151,0.0445732,0.497991,0.0669718
644,7.92508,3.95257,0.0236412,0.075115,0.496758,0.108081
646,7.90878,3.99904,0.0228817,0.0525854,0.497077,0.0974441
648,7.89171,4.04566,0.0230543,0.0398792,0.498269,0.0576852
650,7.87421,4.09228,0.022872,0.0708798,0.497088,0.0970722
652,7.85642,4.13862,0.0239553,0.0571486,0.497374,0.0875193
654,7.8382,4.18484,0.024645,0.0456368,0.497949,0.0683765
656,7.8196,4.23097,0.0247017,0.0762039,0.49664,0.111993
658,7.80065,4.27684,0.0257877,0.0613103,0.496965,0.101152
660,7.78125,4.32252,0.026317,0.048227,0.497583,0.0805598
662,7.7614,4.36808,0.0263191,0.0777712,0.496367,0.121097
664,7.74114,4.41323,0.0264098,0.0583791,0.496769,0.107688
666,7.72027,4.45822,0.0266448,0.0446744,0.4977,0.0766614
668,7.69894,4.50312,0.0270229,0.035242,0.496552,0.114926
670,7.67719,4.54742,0.0244792,0.0163118,0.496936,0.102148
672,7.65472,4.59156,0.0229403,0.00610469,0.498182,0.0606024
